epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.206,1.78189,2.91776,2.37064,2.01398,0.3185,0.39919,0.29503,0.22842,0.31816,0.40011,0.29578,0.22779,1.19864,2.33599,2.11981,1.5911,0.0700713,0.00332542,0.00332542
2,211.11,1.03055,2.08682,1.70296,1.3857,0.35846,0.5969,0.46345,0.38206,0.35954,0.59805,0.46584,0.38532,0.85936,1.62991,1.52621,1.31349,0.0398881,0.00647563,0.00647563
3,291.707,0.90831,1.84036,1.52271,1.29945,0.481,0.61836,0.54283,0.46177,0.4811,0.62037,0.5436,0.46061,0.76118,1.43269,1.25228,1.22676,0.00952169,0.00944252,0.00944252
4,368.32,0.84156,1.7156,1.41592,1.24677,0.5255,0.62972,0.56818,0.48871,0.5264,0.63093,0.56961,0.47925,0.69546,1.40403,1.16018,1.17325,0.009175,0.009175,0.009175
5,444.258,0.7786,1.58291,1.31963,1.20334,0.58949,0.64531,0.63389,0.54982,0.59124,0.64726,0.63704,0.54982,0.62948,1.1712,1.05103,1.13016,0.0089,0.0089,0.0089
6,521.979,0.74693,1.51885,1.26092,1.17648,0.55665,0.61022,0.60951,0.52853,0.55737,0.61295,0.61233,0.52737,0.61807,1.16011,1.13699,1.11888,0.008625,0.008625,0.008625
7,597.755,0.72417,1.50996,1.22964,1.15547,0.62687,0.65255,0.66896,0.58532,0.62416,0.65769,0.67047,0.58901,0.60727,1.06561,0.97291,1.10888,0.00835,0.00835,0.00835
8,673.069,0.70515,1.43,1.17993,1.13961,0.65571,0.6683,0.68791,0.61023,0.65641,0.66917,0.68916,0.61118,0.57406,1.07035,0.9262,1.0795,0.008075,0.008075,0.008075
9,748.246,0.6847,1.41104,1.15835,1.12572,0.64685,0.68969,0.70153,0.62574,0.64859,0.69007,0.70274,0.6257,0.55158,0.98375,0.93187,1.05077,0.0078,0.0078,0.0078
10,823.674,0.67346,1.40587,1.15071,1.12147,0.67639,0.68252,0.71426,0.63948,0.67679,0.68415,0.71514,0.63908,0.54448,0.96891,0.87007,1.05326,0.007525,0.007525,0.007525
