epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.06,1.76789,2.84261,2.36609,1.99142,0.34602,0.31086,0.28305,0.22335,0.34207,0.30788,0.28003,0.20104,1.26016,2.37829,2.09464,1.58797,0.0700713,0.00332542,0.00332542
2,214.136,1.03009,2.04581,1.67844,1.37763,0.33004,0.5262,0.39324,0.31785,0.33111,0.52882,0.39717,0.31712,0.86414,1.71449,1.82758,1.31389,0.0398881,0.00647563,0.00647563
3,291.999,0.89752,1.80561,1.50596,1.28283,0.40496,0.58901,0.4998,0.4233,0.40333,0.58812,0.49931,0.41386,0.75271,1.51412,1.49093,1.22164,0.00952169,0.00944252,0.00944252
4,367.032,0.82825,1.68544,1.39719,1.23029,0.56451,0.62977,0.61267,0.52726,0.56616,0.62971,0.61352,0.52124,0.66629,1.30136,1.10844,1.14508,0.009175,0.009175,0.009175
5,439.039,0.7751,1.57069,1.30529,1.19059,0.55838,0.62342,0.6095,0.51929,0.56189,0.62699,0.61426,0.5158,0.66793,1.28765,1.15985,1.15497,0.0089,0.0089,0.0089
6,513.697,0.73958,1.50779,1.24753,1.16251,0.54315,0.69536,0.65557,0.57184,0.54509,0.69674,0.6578,0.57245,0.62233,1.12823,1.00881,1.11374,0.008625,0.008625,0.008625
7,586.943,0.71686,1.49079,1.22036,1.14208,0.64479,0.64855,0.66766,0.59334,0.64733,0.64917,0.66908,0.5938,0.58757,1.08092,0.94808,1.08256,0.00835,0.00835,0.00835
8,658.817,0.69852,1.41444,1.17304,1.12502,0.65772,0.68172,0.69934,0.61882,0.65751,0.68321,0.70087,0.62054,0.55274,1.02305,0.92298,1.05379,0.008075,0.008075,0.008075
9,731.665,0.68053,1.39199,1.15199,1.1146,0.63959,0.70106,0.70409,0.6298,0.63918,0.70675,0.70607,0.63114,0.55957,1.01424,0.90936,1.0571,0.0078,0.0078,0.0078
10,804.484,0.6701,1.39438,1.14419,1.10893,0.58232,0.66665,0.65997,0.58781,0.58306,0.66719,0.66027,0.58592,0.56517,1.04198,0.99063,1.06106,0.007525,0.007525,0.007525
11,879.419,0.65109,1.33836,1.10959,1.09262,0.65404,0.6942,0.71817,0.64077,0.65328,0.69707,0.71881,0.64067,0.54953,0.98852,0.88,1.04985,0.00725,0.00725,0.00725
12,951.881,0.64186,1.333,1.08941,1.08403,0.68357,0.70982,0.72668,0.65712,0.68364,0.71215,0.72863,0.65402,0.51988,0.91285,0.81378,1.02243,0.006975,0.006975,0.006975
13,1023.34,0.63608,1.31127,1.07623,1.08021,0.6795,0.70138,0.72622,0.65623,0.67854,0.70341,0.72698,0.6551,0.52273,0.9124,0.84282,1.01673,0.0067,0.0067,0.0067
14,1095.43,0.61905,1.25102,1.04883,1.06617,0.66956,0.68611,0.71831,0.64564,0.668,0.68815,0.71914,0.64139,0.52068,0.9201,0.85854,1.02254,0.006425,0.006425,0.006425
15,1167.82,0.61842,1.2811,1.04867,1.06388,0.68602,0.73449,0.75615,0.68552,0.68791,0.73594,0.75804,0.68,0.49552,0.88109,0.77598,1.00517,0.00615,0.00615,0.00615
16,1238.94,0.60466,1.2357,1.03219,1.05382,0.71547,0.71714,0.75334,0.6851,0.71608,0.71755,0.75434,0.68342,0.50207,0.86586,0.76228,1.00765,0.005875,0.005875,0.005875
17,1309.38,0.60322,1.23583,1.02184,1.05173,0.71956,0.73393,0.76151,0.69771,0.72251,0.73363,0.76311,0.69155,0.48747,0.86406,0.73826,0.99947,0.0056,0.0056,0.0056
