epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1380.32,0.59029,1.19586,1.00579,1.04461,0.71481,0.73682,0.77229,0.70245,0.71554,0.73752,0.77306,0.70135,0.48716,0.84867,0.74315,0.98776,0.005325,0.005325,0.005325
19,1451.54,0.58886,1.2036,0.99844,1.04149,0.74664,0.71775,0.76908,0.70474,0.74667,0.72037,0.77064,0.69959,0.47599,0.83053,0.72338,0.98534,0.00505,0.00505,0.00505
20,1523.66,0.58327,1.20269,0.99004,1.03887,0.73002,0.73867,0.77916,0.70973,0.72833,0.73938,0.77924,0.70236,0.47605,0.8243,0.72047,0.98331,0.004775,0.004775,0.004775
21,1594.1,0.58203,1.20862,0.99023,1.03489,0.72873,0.73459,0.77312,0.70979,0.73021,0.7357,0.77427,0.7036,0.46719,0.81643,0.71462,0.98004,0.0045,0.0045,0.0045
22,1665.06,0.57107,1.15394,0.97501,1.02863,0.73364,0.74693,0.77886,0.71527,0.73386,0.74985,0.78048,0.71114,0.46827,0.79528,0.7013,0.97921,0.004225,0.004225,0.004225
23,1736.59,0.5667,1.1538,0.96524,1.02352,0.74991,0.73887,0.78387,0.71939,0.75036,0.73928,0.78472,0.71196,0.4571,0.78628,0.69218,0.96921,0.00395,0.00395,0.00395
24,1807.94,0.56556,1.15824,0.96012,1.02361,0.73462,0.74641,0.78452,0.72243,0.73562,0.74712,0.78573,0.71754,0.45628,0.77766,0.69655,0.96978,0.003675,0.003675,0.003675
25,1878.12,0.55673,1.13647,0.9486,1.0173,0.74612,0.74737,0.78815,0.72407,0.74822,0.74847,0.78965,0.71866,0.46306,0.7806,0.68178,0.97715,0.0034,0.0034,0.0034
26,1950.7,0.55603,1.13315,0.9406,1.01423,0.76855,0.74668,0.79305,0.7313,0.76963,0.74768,0.79483,0.72553,0.45189,0.75915,0.6712,0.96256,0.003125,0.003125,0.003125
27,2015.73,0.47123,0.78819,0.79147,0.96471,0.74742,0.75625,0.79428,0.72924,0.7478,0.75651,0.79478,0.72209,0.45501,0.76592,0.67806,0.96273,0.00285,0.00285,0.00285
28,2077.95,0.45856,0.75704,0.76066,0.95812,0.7579,0.75011,0.79676,0.73261,0.75864,0.75074,0.7977,0.72609,0.45186,0.74687,0.66085,0.96273,0.002575,0.002575,0.002575
29,2140.3,0.45282,0.7465,0.74692,0.95234,0.74862,0.74719,0.78734,0.72915,0.74873,0.7473,0.78754,0.72301,0.44465,0.74513,0.68353,0.95805,0.0023,0.0023,0.0023
30,2202.34,0.44577,0.72891,0.7362,0.94777,0.76708,0.75575,0.80511,0.74384,0.76261,0.76069,0.80657,0.73979,0.43983,0.73483,0.63887,0.95307,0.002025,0.002025,0.002025
31,2263.34,0.4406,0.72622,0.7238,0.94517,0.76836,0.75897,0.80961,0.75089,0.76865,0.75924,0.81007,0.74272,0.43361,0.7262,0.63605,0.94814,0.00175,0.00175,0.00175
32,2324.97,0.43535,0.71613,0.71103,0.9406,0.77094,0.76247,0.81485,0.75489,0.77195,0.76331,0.8159,0.7459,0.43132,0.72303,0.62484,0.9477,0.001475,0.001475,0.001475
33,2386.92,0.43104,0.70487,0.70522,0.93844,0.7769,0.7672,0.81786,0.75803,0.77536,0.76958,0.81918,0.75292,0.4285,0.71916,0.61944,0.94609,0.0012,0.0012,0.0012
34,2448.68,0.42447,0.69619,0.68784,0.93333,0.77926,0.77389,0.82299,0.76524,0.77986,0.77371,0.82325,0.75585,0.42422,0.71443,0.60763,0.94229,0.000925,0.000925,0.000925
35,2510.23,0.42108,0.69638,0.68039,0.93179,0.7837,0.76951,0.82386,0.76502,0.78417,0.76986,0.82437,0.75773,0.42161,0.71069,0.60113,0.93996,0.00065,0.00065,0.00065
36,2571.73,0.41719,0.68871,0.67479,0.92827,0.78992,0.77012,0.82513,0.76824,0.78774,0.77192,0.82599,0.75935,0.4193,0.70696,0.59532,0.93928,0.000375,0.000375,0.000375
