epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.724,1.79617,4.2244,2.38805,2.00504,0.31749,0.25365,0.23923,0.18471,0.31328,0.25128,0.23623,0.17875,1.42274,3.62776,2.15503,1.68354,0.0700713,0.00332542,0.00332542
2,304.994,1.03824,2.9885,1.70134,1.37358,0.33538,0.49033,0.37432,0.29643,0.32023,0.50783,0.37577,0.29345,0.93567,2.75894,2.03809,1.33839,0.0398881,0.00647563,0.00647563
3,392.332,0.9164,2.65607,1.5383,1.28698,0.46991,0.54814,0.50405,0.42609,0.47091,0.5489,0.50584,0.42747,0.79485,2.21563,1.37767,1.25684,0.00952169,0.00944252,0.00944252
4,478.716,0.84815,2.4745,1.4295,1.23344,0.56993,0.60183,0.57707,0.49211,0.57074,0.6028,0.57861,0.49162,0.69111,1.99423,1.16106,1.15504,0.009175,0.009175,0.009175
5,561.401,0.7875,2.30072,1.33676,1.19126,0.58181,0.62398,0.622,0.53393,0.58452,0.62681,0.62522,0.54341,0.67859,1.76554,1.11188,1.14874,0.0089,0.0089,0.0089
6,643.678,0.75499,2.22917,1.27908,1.16499,0.57692,0.60706,0.62245,0.54142,0.58306,0.60709,0.62494,0.54272,0.62749,1.72954,1.12378,1.11249,0.008625,0.008625,0.008625
7,728.864,0.73173,2.19918,1.24212,1.14335,0.55505,0.65772,0.63438,0.56146,0.55666,0.65653,0.63467,0.55898,0.6253,1.69796,1.06227,1.11419,0.00835,0.00835,0.00835
8,811.925,0.71135,2.10233,1.19925,1.12576,0.6401,0.6399,0.65882,0.58792,0.64039,0.64023,0.65934,0.58847,0.58178,1.62551,0.99621,1.07473,0.008075,0.008075,0.008075
9,893.846,0.69215,2.06796,1.17603,1.11296,0.62168,0.67023,0.67315,0.60307,0.62029,0.67329,0.67384,0.607,0.56917,1.49969,0.96117,1.05101,0.0078,0.0078,0.0078
10,974.437,0.68069,2.05336,1.16414,1.10657,0.66974,0.66889,0.70113,0.62342,0.66942,0.67021,0.70184,0.63125,0.5597,1.46075,0.90267,1.03932,0.007525,0.007525,0.007525
11,1054.11,0.66291,1.9839,1.13061,1.09016,0.64097,0.6675,0.69528,0.61996,0.64349,0.66965,0.69863,0.62217,0.54933,1.47096,0.93264,1.04591,0.00725,0.00725,0.00725
12,1137.54,0.65209,1.98142,1.11006,1.08415,0.67911,0.6791,0.69598,0.62795,0.67941,0.68213,0.6975,0.62511,0.53201,1.44184,0.89355,1.0287,0.006975,0.006975,0.006975
13,1219.05,0.6454,1.95208,1.09647,1.07815,0.68596,0.69802,0.72616,0.64884,0.69094,0.6957,0.72708,0.65173,0.53455,1.39328,0.8323,1.02483,0.0067,0.0067,0.0067
14,1299.23,0.62842,1.87488,1.07215,1.06468,0.68825,0.70715,0.73528,0.66232,0.69094,0.70963,0.73714,0.66377,0.52129,1.37002,0.81269,1.01945,0.006425,0.006425,0.006425
15,1381.13,0.63051,1.91655,1.06646,1.06367,0.66917,0.71132,0.74073,0.67083,0.67054,0.71217,0.74228,0.67091,0.50436,1.32877,0.81256,1.01122,0.00615,0.00615,0.00615
16,1463.19,0.61446,1.85239,1.05747,1.05403,0.69313,0.7285,0.7524,0.68611,0.69509,0.73006,0.75388,0.68738,0.49403,1.31968,0.7628,1.00056,0.005875,0.005875,0.005875
17,1543.5,0.61249,1.85544,1.04415,1.05088,0.69868,0.72545,0.75056,0.68159,0.70077,0.72615,0.75228,0.67807,0.50088,1.30419,0.77723,1.00265,0.0056,0.0056,0.0056
18,1625.65,0.60022,1.80172,1.02583,1.04579,0.71609,0.72666,0.75924,0.68679,0.71609,0.72894,0.76032,0.69124,0.49866,1.28864,0.75373,0.99887,0.005325,0.005325,0.005325
19,1708.61,0.59546,1.81459,1.01737,1.04153,0.72048,0.70828,0.7416,0.67892,0.72266,0.70924,0.74329,0.67434,0.48315,1.28791,0.79099,0.99237,0.00505,0.00505,0.00505
20,1791.51,0.59069,1.80378,1.00709,1.03842,0.72019,0.73722,0.76876,0.70121,0.71949,0.7373,0.76884,0.69767,0.48007,1.26981,0.72321,0.98371,0.004775,0.004775,0.004775
21,1872.59,0.59103,1.81512,1.00607,1.03448,0.72282,0.73311,0.76194,0.7,0.72337,0.73414,0.76312,0.69644,0.47151,1.25274,0.73811,0.97897,0.0045,0.0045,0.0045
