epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.824,1.77172,3.34082,2.36731,1.99993,0.28649,0.42185,0.29088,0.21777,0.28742,0.42426,0.2924,0.21562,1.11409,2.62244,2.18095,1.50837,0.0700713,0.00332542,0.00332542
2,211.578,1.03117,2.40129,1.69448,1.37942,0.34509,0.52028,0.41818,0.34667,0.34623,0.51951,0.41939,0.33144,0.86967,2.19591,1.65425,1.30524,0.0398881,0.00647563,0.00647563
3,290.406,0.91688,2.14002,1.52992,1.29634,0.46654,0.55887,0.5067,0.42646,0.46677,0.55879,0.50724,0.42458,0.74167,1.83033,1.33467,1.21331,0.00952169,0.00944252,0.00944252
4,370.063,0.83704,1.99377,1.41789,1.23992,0.56024,0.62832,0.58967,0.50783,0.56157,0.6285,0.59053,0.48717,0.69077,1.71096,1.13492,1.18054,0.009175,0.009175,0.009175
5,444.098,0.77984,1.84651,1.31645,1.19783,0.56919,0.64294,0.62202,0.53724,0.57165,0.64558,0.62467,0.53769,0.65151,1.40451,1.09663,1.13824,0.0089,0.0089,0.0089
6,517.756,0.74687,1.77019,1.26186,1.17259,0.54598,0.65545,0.6327,0.55676,0.54983,0.6558,0.63451,0.55632,0.61966,1.31202,1.06416,1.10871,0.008625,0.008625,0.008625
7,592.653,0.72422,1.76356,1.22744,1.15058,0.59308,0.66047,0.65737,0.58374,0.59247,0.66651,0.66046,0.58414,0.59644,1.29447,0.98319,1.10311,0.00835,0.00835,0.00835
8,668.862,0.70311,1.67301,1.18098,1.1342,0.65973,0.6702,0.68825,0.61273,0.66086,0.67139,0.68913,0.61699,0.57254,1.21856,0.92555,1.07662,0.008075,0.008075,0.008075
9,743.221,0.68466,1.64811,1.16003,1.12332,0.63023,0.69875,0.69469,0.62353,0.62921,0.70336,0.69642,0.62247,0.54917,1.16939,0.92294,1.04663,0.0078,0.0078,0.0078
10,816.903,0.67291,1.63132,1.14475,1.11677,0.6222,0.66204,0.67672,0.60534,0.62339,0.66476,0.678,0.60615,0.55674,1.1785,0.96134,1.06445,0.007525,0.007525,0.007525
11,891.065,0.65651,1.58018,1.11639,1.10004,0.65571,0.69138,0.71275,0.63431,0.65818,0.69159,0.71442,0.63657,0.54998,1.14847,0.89701,1.05461,0.00725,0.00725,0.00725
12,967.193,0.6461,1.57152,1.09476,1.09559,0.68652,0.69847,0.71863,0.64897,0.68773,0.70103,0.71997,0.64781,0.52369,1.07754,0.8374,1.03059,0.006975,0.006975,0.006975
13,1040.46,0.63752,1.55219,1.08299,1.08872,0.69099,0.6941,0.72336,0.64936,0.69185,0.69598,0.72513,0.64932,0.53339,1.09643,0.82843,1.03591,0.0067,0.0067,0.0067
14,1114.87,0.62104,1.47897,1.05488,1.07424,0.70406,0.71715,0.75212,0.67723,0.70595,0.71893,0.75354,0.67609,0.51086,1.06065,0.79398,1.01974,0.006425,0.006425,0.006425
15,1188.44,0.61975,1.51109,1.05015,1.07276,0.6829,0.73802,0.75758,0.68896,0.68833,0.73681,0.75929,0.68999,0.49448,1.026,0.77602,1.0062,0.00615,0.00615,0.00615
16,1261.52,0.60676,1.46645,1.03954,1.06382,0.7246,0.72001,0.75903,0.69017,0.72487,0.72063,0.76006,0.69093,0.49536,1.0167,0.75332,1.00526,0.005875,0.005875,0.005875
17,1334.47,0.60544,1.4652,1.02793,1.06228,0.69698,0.72492,0.75581,0.687,0.699,0.72662,0.75781,0.68569,0.494,1.02865,0.78028,1.0048,0.0056,0.0056,0.0056
18,1405.25,0.59268,1.41774,1.01355,1.05476,0.70903,0.73178,0.75627,0.68815,0.71092,0.73346,0.75871,0.68871,0.48133,0.9916,0.7522,0.99688,0.005325,0.005325,0.005325
19,1478.68,0.58888,1.42434,1.0045,1.04976,0.72917,0.72594,0.75959,0.69671,0.72993,0.7274,0.76083,0.69466,0.4765,0.98185,0.74585,0.99575,0.00505,0.00505,0.00505
20,1550.41,0.58621,1.42204,0.99632,1.04811,0.72574,0.74141,0.77313,0.70681,0.72518,0.74143,0.77334,0.70517,0.4718,0.96357,0.71322,0.98598,0.004775,0.004775,0.004775
21,1621.88,0.58361,1.4336,0.99783,1.04488,0.72206,0.74546,0.77126,0.70836,0.72045,0.74957,0.7722,0.70744,0.46461,0.95063,0.71152,0.98458,0.0045,0.0045,0.0045
22,1694.99,0.57286,1.36894,0.97868,1.03622,0.7247,0.73967,0.77577,0.71171,0.72611,0.74105,0.77733,0.70947,0.46549,0.95385,0.72902,0.98319,0.004225,0.004225,0.004225
23,1768.98,0.56693,1.36435,0.97215,1.03243,0.72041,0.74225,0.77701,0.71165,0.71675,0.74649,0.77793,0.70786,0.45703,0.93578,0.71156,0.97552,0.00395,0.00395,0.00395
