epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,1839.98,0.56596,1.37243,0.96713,1.03009,0.73804,0.747,0.78495,0.72101,0.73599,0.74973,0.78549,0.71899,0.45749,0.9132,0.69892,0.97051,0.003675,0.003675,0.003675
25,1913.82,0.55881,1.34702,0.95519,1.02564,0.73877,0.75068,0.78332,0.71944,0.74112,0.74934,0.78381,0.71639,0.45712,0.9164,0.68771,0.9765,0.0034,0.0034,0.0034
26,1984.6,0.55757,1.34388,0.94686,1.02285,0.74905,0.74194,0.787,0.72363,0.7488,0.74662,0.78843,0.72351,0.45039,0.9024,0.68736,0.96792,0.003125,0.003125,0.003125
27,2050.51,0.4701,0.9434,0.79676,0.97079,0.75157,0.75075,0.7905,0.72571,0.75309,0.75134,0.79157,0.72249,0.45631,0.90014,0.67373,0.96996,0.00285,0.00285,0.00285
28,2112.83,0.45837,0.90958,0.76522,0.96381,0.74586,0.75203,0.78596,0.7242,0.74667,0.75288,0.78652,0.71767,0.44901,0.88744,0.68551,0.96607,0.002575,0.002575,0.002575
29,2175.23,0.45455,0.90558,0.74701,0.9594,0.76171,0.75914,0.79762,0.73654,0.76026,0.76308,0.79831,0.73482,0.44436,0.87606,0.65764,0.96272,0.0023,0.0023,0.0023
30,2238,0.44541,0.88298,0.74436,0.95325,0.76198,0.75418,0.80265,0.74197,0.76286,0.755,0.80342,0.73896,0.43968,0.8698,0.64851,0.9583,0.002025,0.002025,0.002025
31,2300.07,0.44176,0.87422,0.72723,0.95146,0.76418,0.76996,0.81039,0.75123,0.761,0.77193,0.81031,0.74433,0.43159,0.87098,0.63234,0.95116,0.00175,0.00175,0.00175
32,2362.08,0.43562,0.86491,0.71654,0.94492,0.77309,0.76115,0.81297,0.7518,0.77391,0.76179,0.81321,0.7465,0.43313,0.85078,0.62523,0.95288,0.001475,0.001475,0.001475
33,2424.13,0.42981,0.8553,0.70951,0.94254,0.75883,0.77384,0.81353,0.75339,0.75907,0.77399,0.81422,0.74906,0.42849,0.8538,0.62727,0.94993,0.0012,0.0012,0.0012
34,2486.15,0.42324,0.8403,0.6955,0.93738,0.77068,0.77633,0.81966,0.76047,0.77137,0.77564,0.81984,0.75463,0.42527,0.84661,0.61356,0.94973,0.000925,0.000925,0.000925
35,2549.06,0.41993,0.83967,0.68448,0.93617,0.78074,0.76723,0.81912,0.76186,0.7817,0.76803,0.81994,0.75569,0.42305,0.84071,0.60808,0.94757,0.00065,0.00065,0.00065
36,2611.22,0.41688,0.83114,0.68079,0.93303,0.77856,0.77465,0.82281,0.76578,0.77956,0.77556,0.82346,0.75824,0.41886,0.83625,0.60072,0.94379,0.000375,0.000375,0.000375
