epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,1120.45,0.62477,1.276,1.05799,1.07292,0.68018,0.70936,0.74521,0.67285,0.68477,0.70847,0.74642,0.67209,0.51044,0.90956,0.83149,1.01571,0.006425,0.006425,0.006425
15,1194.8,0.62392,1.30837,1.05357,1.07179,0.68176,0.72982,0.74963,0.67762,0.68518,0.73152,0.75356,0.67746,0.5111,0.89956,0.79628,1.01728,0.00615,0.00615,0.00615
16,1269.44,0.61071,1.26483,1.046,1.06266,0.70798,0.72081,0.7556,0.6868,0.70859,0.72255,0.75683,0.6878,0.50025,0.87267,0.76465,1.00907,0.005875,0.005875,0.005875
17,1341.45,0.60947,1.26589,1.03085,1.0593,0.71995,0.72712,0.75997,0.69152,0.72225,0.72925,0.76272,0.68905,0.49409,0.87536,0.75827,1.00598,0.0056,0.0056,0.0056
18,1414.5,0.59533,1.21495,1.01397,1.05314,0.73834,0.72284,0.76872,0.69921,0.73978,0.72411,0.77017,0.6976,0.48702,0.85045,0.74144,0.99778,0.005325,0.005325,0.005325
19,1488.08,0.59351,1.23129,1.00816,1.0498,0.70698,0.73167,0.75921,0.69155,0.70406,0.73694,0.76166,0.6872,0.48701,0.83873,0.74627,1.00094,0.00505,0.00505,0.00505
20,1561.41,0.5885,1.2225,0.99804,1.04669,0.72173,0.73193,0.76675,0.69959,0.72255,0.73269,0.76781,0.69681,0.47574,0.83429,0.73831,0.98866,0.004775,0.004775,0.004775
21,1636.07,0.58733,1.22877,0.998,1.04389,0.72264,0.73476,0.76665,0.7058,0.72154,0.7362,0.76734,0.70219,0.47257,0.82813,0.72593,0.98869,0.0045,0.0045,0.0045
22,1707.83,0.57534,1.17203,0.97779,1.03488,0.74388,0.73458,0.77792,0.71287,0.74506,0.73563,0.77941,0.70638,0.46902,0.80944,0.71191,0.98467,0.004225,0.004225,0.004225
23,1779.5,0.57119,1.1676,0.97069,1.03094,0.7289,0.74876,0.77624,0.71179,0.73137,0.74844,0.77787,0.70738,0.46392,0.80791,0.70358,0.97787,0.00395,0.00395,0.00395
24,1852.03,0.57019,1.1742,0.96624,1.02979,0.74153,0.73893,0.77544,0.71349,0.74263,0.73984,0.77667,0.70906,0.4619,0.7964,0.70922,0.97976,0.003675,0.003675,0.003675
25,1925.21,0.56115,1.15488,0.95674,1.02345,0.73174,0.7502,0.78431,0.7198,0.73152,0.75203,0.78525,0.7155,0.45701,0.78853,0.68919,0.9747,0.0034,0.0034,0.0034
26,1998.67,0.55934,1.1545,0.9462,1.02046,0.74721,0.74522,0.78503,0.72214,0.74776,0.74565,0.78611,0.71943,0.4584,0.78975,0.68793,0.97208,0.003125,0.003125,0.003125
27,2065.48,0.47503,0.79165,0.80011,0.97002,0.75161,0.74747,0.79385,0.72605,0.75261,0.74827,0.79458,0.72481,0.46313,0.78233,0.67717,0.96986,0.00285,0.00285,0.00285
28,2129.34,0.46104,0.7571,0.77023,0.96354,0.74824,0.75216,0.79159,0.72991,0.74774,0.75647,0.7934,0.72184,0.45332,0.76189,0.6681,0.96927,0.002575,0.002575,0.002575
29,2192.9,0.45551,0.75442,0.75535,0.95814,0.756,0.75226,0.79317,0.73379,0.75676,0.7538,0.7942,0.72939,0.44321,0.73955,0.66572,0.96022,0.0023,0.0023,0.0023
30,2255.61,0.44737,0.72839,0.74431,0.95233,0.75775,0.76072,0.7994,0.74029,0.75885,0.76181,0.80049,0.73467,0.44183,0.74259,0.65093,0.96032,0.002025,0.002025,0.002025
31,2319.1,0.44383,0.72691,0.73263,0.95077,0.76462,0.76477,0.80705,0.74927,0.76524,0.76531,0.80823,0.74005,0.43474,0.73834,0.63378,0.95342,0.00175,0.00175,0.00175
32,2382.79,0.43909,0.71832,0.7199,0.94557,0.78741,0.75394,0.81216,0.75245,0.7877,0.75526,0.8132,0.74409,0.43264,0.72574,0.62545,0.95284,0.001475,0.001475,0.001475
33,2446.04,0.43294,0.709,0.71322,0.94354,0.76184,0.77476,0.81285,0.75474,0.76249,0.77619,0.81395,0.74776,0.4274,0.72402,0.62464,0.94852,0.0012,0.0012,0.0012
34,2510.07,0.42712,0.69917,0.69556,0.93779,0.77014,0.77194,0.81937,0.76149,0.7716,0.77322,0.82051,0.75427,0.42418,0.71694,0.61532,0.94649,0.000925,0.000925,0.000925
35,2573.72,0.4224,0.69761,0.68842,0.93572,0.77746,0.76661,0.81554,0.75889,0.77798,0.76772,0.8165,0.74968,0.42474,0.71459,0.61049,0.94715,0.00065,0.00065,0.00065
36,2637.34,0.41997,0.6873,0.68185,0.93296,0.77936,0.77419,0.82067,0.76427,0.78026,0.7758,0.82153,0.75411,0.42099,0.70815,0.60229,0.94479,0.000375,0.000375,0.000375
