epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.772,1.75409,2.92091,2.35575,1.99713,0.31734,0.20634,0.22303,0.16572,0.31787,0.20665,0.22355,0.16943,1.49156,2.71372,2.31154,1.69558,0.0700713,0.00332542,0.00332542
2,215.14,1.02515,2.09714,1.69256,1.38331,0.30248,0.53019,0.3918,0.32059,0.30488,0.53241,0.39479,0.312,0.92532,2.01386,1.93938,1.35553,0.0398881,0.00647563,0.00647563
3,294.42,0.9083,1.86128,1.52135,1.29652,0.42277,0.6054,0.53243,0.45067,0.42856,0.60377,0.53512,0.44453,0.76335,1.54235,1.31793,1.24142,0.00952169,0.00944252,0.00944252
4,372.453,0.83216,1.7389,1.40822,1.23861,0.56598,0.60353,0.58347,0.50214,0.56777,0.60552,0.5856,0.49619,0.69738,1.34554,1.14557,1.18442,0.009175,0.009175,0.009175
5,449.032,0.77882,1.60785,1.31663,1.19721,0.5888,0.63504,0.63525,0.55423,0.59068,0.63678,0.63719,0.55406,0.64532,1.23224,1.0666,1.1368,0.0089,0.0089,0.0089
6,525.499,0.74636,1.54093,1.26384,1.17219,0.53371,0.62089,0.60639,0.52608,0.53543,0.62168,0.60895,0.52538,0.63225,1.25472,1.16053,1.1275,0.008625,0.008625,0.008625
7,599.997,0.72647,1.52844,1.23004,1.15324,0.63381,0.66648,0.68271,0.60137,0.6333,0.66914,0.68525,0.59647,0.5956,1.11832,0.95963,1.08174,0.00835,0.00835,0.00835
8,675.619,0.70522,1.44398,1.18104,1.13293,0.6275,0.65412,0.66868,0.58968,0.62841,0.65502,0.6699,0.59192,0.6001,1.10603,1.03297,1.09668,0.008075,0.008075,0.008075
9,751.519,0.68621,1.42132,1.15886,1.12099,0.63452,0.65934,0.6729,0.60455,0.6344,0.6617,0.67372,0.60509,0.56495,1.01852,0.97016,1.05312,0.0078,0.0078,0.0078
10,827.292,0.67462,1.41707,1.15285,1.11389,0.64526,0.68111,0.69885,0.62289,0.64507,0.68085,0.69897,0.61776,0.5595,1.04803,0.90606,1.05589,0.007525,0.007525,0.007525
11,901.591,0.657,1.36111,1.12191,1.09753,0.67387,0.69129,0.72134,0.64547,0.67616,0.69317,0.72445,0.64774,0.55019,0.98198,0.85343,1.05281,0.00725,0.00725,0.00725
12,974.895,0.64784,1.35992,1.09902,1.09322,0.69088,0.68708,0.71267,0.64769,0.69302,0.68939,0.7152,0.64375,0.52586,0.94068,0.85456,1.03259,0.006975,0.006975,0.006975
13,1048.15,0.64106,1.33803,1.08999,1.08691,0.66047,0.69159,0.71833,0.64241,0.66283,0.69341,0.72115,0.63823,0.5277,0.96085,0.85203,1.03137,0.0067,0.0067,0.0067
